Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
57,tt2294629,2023-03-22,2023-03-22,"Frozen is a 2013 American computer-animated musical fantasy film produced by Walt Disney Animation Studios and released by Walt Disney Pictures. The 53rd Disney animated feature film, it is inspired by Hans Christian Andersen's 1844 fairy tale The Snow Queen. The film was directed by Chris Buck and Jennifer Lee and produced by Peter Del Vecho, from a screenplay written by Lee, and a story by Buck, Lee, and Shane Morris. It stars the voices of Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff and Santino Fontana. Frozen tells the story of Princess Anna as she teams up with an iceman, his reindeer, and a snowman to find her estranged sister Elsa, whose icy powers have inadvertently trapped their kingdom in eternal winter.","Frozen","Frozen",https://www.imdb.com/title/tt2294629/,Movie,7.4,102,2013,"Animation, Adventure, Comedy, Family, Fantasy, Musical",687075,2013-11-27,"Chris Buck, Jennifer Lee"
58,tt2245084,2023-03-22,2023-03-22,"Big Hero 6 is a 2014 American computer-animated superhero film produced by Walt Disney Animation Studios and released by Walt Disney Pictures. Loosely based on the Marvel comics of the same name created by Man of Action, it is the 54th Disney animated feature film","Big Hero 6","Big Hero 6",https://www.imdb.com/title/tt2245084/,Movie,7.8,102,2014,"Animation, Action, Adventure, Comedy, Crime, Family, Sci-Fi",527665,2014-11-07,"Don Hall, Chris Williams"
59,tt2948356,2023-03-22,2023-04-06,"Zootopia is a 2016 American computer-animated buddy cop action comedy film produced by Walt Disney Animation Studios and released by Walt Disney Pictures. The 55th Disney animated feature film, the first installment in the Zootopia franchise, it was directed by Byron Howard and Rich Moore, co-directed by Jared Bush","Zootopia","Zootopia",https://www.imdb.com/title/tt2948356/,Movie,8.0,108,2016,"Animation, Action, Adventure, Comedy, Crime, Family, Mystery",577719,2016-03-04,"Byron Howard, Rich Moore, Jared Bush"
60,tt3521164,2023-03-22,2023-04-06,"Moana is a 2016 American computer-animated musical action-adventure fantasy film produced by Walt Disney Animation Studios and released by Walt Disney Pictures.","Moana","Moana",https://www.imdb.com/title/tt3521164/,Movie,7.6,107,2016,"Animation, Adventure, Comedy, Family, Fantasy, Musical",413674,2016-11-23,"Ron Clements, John Musker, Don Hall, Chris Williams"
61,tt5848272,2023-03-22,2023-03-22,"Ralph Breaks the Internet is a 2018 American computer-animated comedy film produced by Walt Disney Animation Studios and distributed by Walt Disney Studios Motion Pictures. The 57th animated film produced by the studio and the sequel to the 2012 film Wreck-It Ralph","Ralph Breaks the Internet","Ralph Breaks the Internet",https://www.imdb.com/title/tt5848272/,Movie,7.0,112,2018,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi, Sport",194376,2018-11-21,"Phil Johnston, Rich Moore"
62,tt4520988,2023-03-22,2023-04-06,"Frozen 2 (stylized as Frozen II) is a 2019 American computer-animated musical fantasy film produced by Walt Disney Animation Studios and distributed by Walt Disney Studios Motion Pictures. The 58th animated film produced by the studio, it is the sequel to Frozen (2013). The film was directed by Chris Buck and Jennifer Lee, produced by Peter Del Vecho, and written by Lee, Buck, Marc Smith, Kristen Anderson-Lopez, and Robert Lopez. It stars the voices of Kristen Bell, Idina Menzel, Josh Gad, and Jonathan Groff. Set three years after the first film, Frozen II follows sisters Anna and Elsa, Kristoff, his reindeer Sven, and the snowman Olaf as they travel to an enchanted forest to unravel the origin of Elsa's magical power.","Frozen II","Frozen II",https://www.imdb.com/title/tt4520988/,Movie,6.8,103,2019,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical",206847,2019-11-22,"Chris Buck, Jennifer Lee"
63,tt5109280,2023-04-14,2023-04-14,,"Raya and the Last Dragon","Raya and the Last Dragon",https://www.imdb.com/title/tt5109280/,Movie,7.3,107,2021,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy",180325,2021-03-05,"Don Hall, Carlos López Estrada, Paul Briggs, John Ripa"
64,tt2953050,2023-03-22,2023-03-22,"Encanto is a 2021 American computer-animated musical fantasy comedy film produced by Walt Disney Animation Studios and distributed by Walt Disney Studios Motion Pictures.","Encanto","Encanto",https://www.imdb.com/title/tt2953050/,Movie,7.2,102,2021,"Animation, Comedy, Family, Fantasy, Musical",280776,2021-11-24,"Jared Bush, Byron Howard, Charise Castro Smith"
65,tt10298840,2023-03-22,2023-03-22,"Strange World is a 2022 American computer-animated science-fiction adventure film produced by Walt Disney Animation Studios and distributed by Walt Disney Studios Motion Pictures. The 61st film produced by the studio, it was directed by Don Hall, co-directed by Qui Nguyen, and produced by Roy Conli, from a screenplay written by Nguyen, who also conceived the story with Hall. The film stars the voices of Jake Gyllenhaal, Dennis Quaid, Jaboukie Young-White, Gabrielle Union, and Lucy Liu. It is Disney's seventh animated film to tackle the sci-fi genre, after Big Hero 6 (2014). The film follows a legendary family of explorers, the Clades (Gyllenhaal, Quaid, Young-White, and Union), who must set aside their differences as they embark on a journey to a mysterious subterranean land inhabited by surreal lifeforms, in order to save a miracle plant Pando that is their society's source of energy.","Strange World","Strange World",https://www.imdb.com/title/tt10298840/,Movie,5.7,102,2022,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",48554,2022-11-23,"Don Hall, Qui Nguyen"
66,tt11304740,2024-09-13,2024-09-13,"Wish is a 2023 American animated musical fantasy film produced by Walt Disney Animation Studios and released by Walt Disney Pictures. It was directed by Chris Buck and Fawn Veerasunthorn, from a screenplay written by Jennifer Lee and Allison Moore, based on a story conceived by Lee, Buck, Veerasunthorn, and Moore, and produced by Peter Del Vecho and Juan Pablo Reyes Lancaster-Jones, with Lee and Don Hall serving as executive producers. The art style combines computer animation with the look of traditional animation. ","Wish","Wish",https://www.imdb.com/title/tt11304740/,Movie,5.6,95,2023,"Animation, Adventure, Comedy, Family, Fantasy, Musical",46545,2023-11-22,"Chris Buck, Fawn Veerasunthorn"
67,tt13622970,2024-12-23,2024-12-23,"Moana 2 (also known as Vaiana 2 or Oceania 2)in some markets) is a 2024 American animated musical adventure film produced by Walt Disney Animation Studios for Walt Disney Pictures. It is the sequel to Moana (2016) and the second installment in the Moana franchise. The film was directed by David Derrick Jr., Jason Hand, and Dana Ledoux Miller (in their feature directorial debuts) and produced by Christina Chen and Yvett Merino, from a screenplay by Jared Bush and Miller. Auliʻi Cravalho, Dwayne Johnson, Temuera Morrison, Nicole Scherzinger, Rachel House, and Alan Tudyk all reprise their roles from the first film, with Hualālai Chung, Rose Matafeo, David Fane, Awhimai Fraser, Khaleesi Lambert-Tsuda, and Gerald Ramsey joining the cast. Set three years after the first Moana, it follows the titular character reuniting with the demigod Maui and assembling a wayfinding crew in order to find the lost island of Motufetu, break its curse, and reconnect the people of the ocean.","Moana 2","Moana 2",https://www.imdb.com/title/tt13622970/,Movie,6.6,100,2024,"Animation, Adventure, Comedy, Family, Fantasy, Musical",100934,2024-11-27,"David G. Derrick Jr., Jason Hand, Dana Ledoux Miller"
